Range,Processes,Time
Range,Processes,Time
1000-10000,1,0.004951
Range,Processes,Time
1000-10000,1,0.004951
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
1000-10000,6,0.001867
1000-10000,7,0.001602
1000-10000,8,0.001632
1000-10000,9,0.001791
Range,Processes,Time
1000-10000,1,0.004951
1000-10000,2,0.003331
1000-10000,3,0.002426
1000-10000,4,0.002426
1000-10000,5,0.002029
