UID        PID    PPID   LWP    C    NLWP   %CPU    %MEM    VSZ      RSS      TTY      STAT     START  TIME         PSR    STIME        COMMAND
root       1      0      1      0    1      0.0     0.0     43792    ?        ?        Ss       Feb13  0:08         00:00:08 /usr/lib/systemd/sys--switched-root /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root       2      0      2      0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [kthreadd]   [kthreadd]
root       3      2      3      0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [pool_workqueue_release] [pool_workqueue_release]
root       4      2      4      0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-rcu_gp] [kworker/R-rcu_gp]
root       5      2      5      0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-sync_wq] [kworker/R-sync_wq]
root       6      2      6      0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-kvfree_rcu_reclaim] [kworker/R-kvfree_rcu_reclaim]
root       7      2      7      0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-slub_flushwq] [kworker/R-slub_flushwq]
root       8      2      8      0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-netns] [kworker/R-netns]
root       10     2      10     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/0:0H-events_highpri] [kworker/0:0H-events_highpri]
root       13     2      13     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/R-mm_percpu_wq] [kworker/R-mm_percpu_wq]
root       15     2      15     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:01         00:00:01 [ksoftirqd/0] [ksoftirqd/0]
root       16     2      16     0    1      0.0     0.0     0        ?        ?        I        Feb13  1:38         00:01:38 [rcu_preempt] [rcu_preempt]
root       17     2      17     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [rcu_exp_par_gp_kthread_worker/1] [rcu_exp_par_gp_kthread_worker/1]
root       18     2      18     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [rcu_exp_gp_kthread_worker] [rcu_exp_gp_kthread_worker]
root       19     2      19     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:03         00:00:03 [migration/0] [migration/0]
root       20     2      20     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/0] [idle_inject/0]
root       21     2      21     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/0]    [cpuhp/0]
root       22     2      22     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/2]    [cpuhp/2]
root       23     2      23     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/2] [idle_inject/2]
root       24     2      24     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:04         00:00:04 [migration/2] [migration/2]
root       25     2      25     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/2] [ksoftirqd/2]
root       27     2      27     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/2:0H-events_highpri] [kworker/2:0H-events_highpri]
root       28     2      28     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/4]    [cpuhp/4]
root       29     2      29     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/4] [idle_inject/4]
root       30     2      30     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:02         00:00:02 [migration/4] [migration/4]
root       31     2      31     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/4] [ksoftirqd/4]
root       33     2      33     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/4:0H-events_highpri] [kworker/4:0H-events_highpri]
root       34     2      34     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/6]    [cpuhp/6]
root       35     2      35     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/6] [idle_inject/6]
root       36     2      36     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:02         00:00:02 [migration/6] [migration/6]
root       37     2      37     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/6] [ksoftirqd/6]
root       39     2      39     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/6:0H-events_highpri] [kworker/6:0H-events_highpri]
root       40     2      40     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/8]    [cpuhp/8]
root       41     2      41     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/8] [idle_inject/8]
root       42     2      42     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:07         00:00:07 [migration/8] [migration/8]
root       43     2      43     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/8] [ksoftirqd/8]
root       45     2      45     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/8:0H-events_highpri] [kworker/8:0H-events_highpri]
root       46     2      46     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/10]   [cpuhp/10]
root       47     2      47     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/10] [idle_inject/10]
root       48     2      48     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:05         00:00:05 [migration/10] [migration/10]
root       49     2      49     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/10] [ksoftirqd/10]
root       51     2      51     0    1      0.0     0.0     0        ?        ?        I<       Feb13  0:00         00:00:00 [kworker/10:0H-events_highpri] [kworker/10:0H-events_highpri]
root       52     2      52     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [rcu_exp_par_gp_kthread_worker/2] [rcu_exp_par_gp_kthread_worker/2]
root       53     2      53     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [cpuhp/12]   [cpuhp/12]
root       54     2      54     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [idle_inject/12] [idle_inject/12]
root       55     2      55     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:20         00:00:20 [migration/12] [migration/12]
root       56     2      56     0    1      0.0     0.0     0        ?        ?        S        Feb13  0:00         00:00:00 [ksoftirqd/12] [ksoftirqd/12]
