UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0    1 Feb13 ?        00:00:08 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root           2       0       2  0    1 Feb13 ?        00:00:00 [kthreadd]
root           3       2       3  0    1 Feb13 ?        00:00:00 [pool_workqueue_release]
root           4       2       4  0    1 Feb13 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2       5  0    1 Feb13 ?        00:00:00 [kworker/R-sync_wq]
root           6       2       6  0    1 Feb13 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2       7  0    1 Feb13 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2       8  0    1 Feb13 ?        00:00:00 [kworker/R-netns]
root          10       2      10  0    1 Feb13 ?        00:00:00 [kworker/0:0H-events_highpri]
root          13       2      13  0    1 Feb13 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          15       2      15  0    1 Feb13 ?        00:00:01 [ksoftirqd/0]
root          16       2      16  0    1 Feb13 ?        00:01:38 [rcu_preempt]
root          17       2      17  0    1 Feb13 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/1]
root          18       2      18  0    1 Feb13 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          19       2      19  0    1 Feb13 ?        00:00:03 [migration/0]
root          20       2      20  0    1 Feb13 ?        00:00:00 [idle_inject/0]
root          21       2      21  0    1 Feb13 ?        00:00:00 [cpuhp/0]
root          22       2      22  0    1 Feb13 ?        00:00:00 [cpuhp/2]
root          23       2      23  0    1 Feb13 ?        00:00:00 [idle_inject/2]
root          24       2      24  0    1 Feb13 ?        00:00:04 [migration/2]
root          25       2      25  0    1 Feb13 ?        00:00:00 [ksoftirqd/2]
root          27       2      27  0    1 Feb13 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2      28  0    1 Feb13 ?        00:00:00 [cpuhp/4]
root          29       2      29  0    1 Feb13 ?        00:00:00 [idle_inject/4]
root          30       2      30  0    1 Feb13 ?        00:00:02 [migration/4]
root          31       2      31  0    1 Feb13 ?        00:00:00 [ksoftirqd/4]
root          33       2      33  0    1 Feb13 ?        00:00:00 [kworker/4:0H-events_highpri]
root          34       2      34  0    1 Feb13 ?        00:00:00 [cpuhp/6]
root          35       2      35  0    1 Feb13 ?        00:00:00 [idle_inject/6]
root          36       2      36  0    1 Feb13 ?        00:00:02 [migration/6]
root          37       2      37  0    1 Feb13 ?        00:00:00 [ksoftirqd/6]
root          39       2      39  0    1 Feb13 ?        00:00:00 [kworker/6:0H-events_highpri]
root          40       2      40  0    1 Feb13 ?        00:00:00 [cpuhp/8]
root          41       2      41  0    1 Feb13 ?        00:00:00 [idle_inject/8]
root          42       2      42  0    1 Feb13 ?        00:00:07 [migration/8]
root          43       2      43  0    1 Feb13 ?        00:00:00 [ksoftirqd/8]
root          45       2      45  0    1 Feb13 ?        00:00:00 [kworker/8:0H-events_highpri]
root          46       2      46  0    1 Feb13 ?        00:00:00 [cpuhp/10]
root          47       2      47  0    1 Feb13 ?        00:00:00 [idle_inject/10]
root          48       2      48  0    1 Feb13 ?        00:00:05 [migration/10]
root          49       2      49  0    1 Feb13 ?        00:00:00 [ksoftirqd/10]
root          51       2      51  0    1 Feb13 ?        00:00:00 [kworker/10:0H-events_highpri]
root          52       2      52  0    1 Feb13 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/2]
root          53       2      53  0    1 Feb13 ?        00:00:00 [cpuhp/12]
root          54       2      54  0    1 Feb13 ?        00:00:00 [idle_inject/12]
root          55       2      55  0    1 Feb13 ?        00:00:20 [migration/12]
root          56       2      56  0    1 Feb13 ?        00:00:00 [ksoftirqd/12]
root          58       2      58  0    1 Feb13 ?        00:00:00 [kworker/12:0H-events_highpri]
root          59       2      59  0    1 Feb13 ?        00:00:00 [cpuhp/13]
root          60       2      60  0    1 Feb13 ?        00:00:00 [idle_inject/13]
root          61       2      61  0    1 Feb13 ?        00:00:13 [migration/13]
root          62       2      62  0    1 Feb13 ?        00:00:00 [ksoftirqd/13]
root          64       2      64  0    1 Feb13 ?        00:00:00 [kworker/13:0H-events_highpri]
root          65       2      65  0    1 Feb13 ?        00:00:00 [cpuhp/14]
root          66       2      66  0    1 Feb13 ?        00:00:00 [idle_inject/14]
root          67       2      67  0    1 Feb13 ?        00:00:10 [migration/14]
root          68       2      68  0    1 Feb13 ?        00:00:00 [ksoftirqd/14]
root          70       2      70  0    1 Feb13 ?        00:00:00 [kworker/14:0H-events_highpri]
root          71       2      71  0    1 Feb13 ?        00:00:00 [cpuhp/15]
root          72       2      72  0    1 Feb13 ?        00:00:00 [idle_inject/15]
root          73       2      73  0    1 Feb13 ?        00:00:07 [migration/15]
root          74       2      74  0    1 Feb13 ?        00:00:00 [ksoftirqd/15]
root          76       2      76  0    1 Feb13 ?        00:00:00 [kworker/15:0H-events_highpri]
root          77       2      77  0    1 Feb13 ?        00:00:00 [cpuhp/16]
root          78       2      78  0    1 Feb13 ?        00:00:00 [idle_inject/16]
root          79       2      79  0    1 Feb13 ?        00:00:05 [migration/16]
root          80       2      80  0    1 Feb13 ?        00:00:00 [ksoftirqd/16]
root          82       2      82  0    1 Feb13 ?        00:00:00 [kworker/16:0H-events_highpri]
root          83       2      83  0    1 Feb13 ?        00:00:00 [cpuhp/17]
root          84       2      84  0    1 Feb13 ?        00:00:00 [idle_inject/17]
root          85       2      85  0    1 Feb13 ?        00:00:04 [migration/17]
root          86       2      86  0    1 Feb13 ?        00:00:00 [ksoftirqd/17]
root          88       2      88  0    1 Feb13 ?        00:00:00 [kworker/17:0H-events_highpri]
root          89       2      89  0    1 Feb13 ?        00:00:00 [cpuhp/18]
root          90       2      90  0    1 Feb13 ?        00:00:00 [idle_inject/18]
root          91       2      91  0    1 Feb13 ?        00:00:03 [migration/18]
root          92       2      92  0    1 Feb13 ?        00:00:00 [ksoftirqd/18]
root          94       2      94  0    1 Feb13 ?        00:00:00 [kworker/18:0H-events_highpri]
root          95       2      95  0    1 Feb13 ?        00:00:00 [cpuhp/19]
root          96       2      96  0    1 Feb13 ?        00:00:00 [idle_inject/19]
root          97       2      97  0    1 Feb13 ?        00:00:03 [migration/19]
root          98       2      98  0    1 Feb13 ?        00:00:00 [ksoftirqd/19]
root         100       2     100  0    1 Feb13 ?        00:00:00 [kworker/19:0H-events_highpri]
root         101       2     101  0    1 Feb13 ?        00:00:00 [cpuhp/1]
root         102       2     102  0    1 Feb13 ?        00:00:00 [idle_inject/1]
root         103       2     103  0    1 Feb13 ?        00:00:00 [migration/1]
root         104       2     104  0    1 Feb13 ?        00:00:02 [ksoftirqd/1]
root         106       2     106  0    1 Feb13 ?        00:00:00 [kworker/1:0H-events_highpri]
root         107       2     107  0    1 Feb13 ?        00:00:00 [cpuhp/3]
root         108       2     108  0    1 Feb13 ?        00:00:00 [idle_inject/3]
root         109       2     109  0    1 Feb13 ?        00:00:00 [migration/3]
root         110       2     110  0    1 Feb13 ?        00:00:00 [ksoftirqd/3]
root         112       2     112  0    1 Feb13 ?        00:00:00 [kworker/3:0H-events_highpri]
root         113       2     113  0    1 Feb13 ?        00:00:00 [cpuhp/5]
root         114       2     114  0    1 Feb13 ?        00:00:00 [idle_inject/5]
root         115       2     115  0    1 Feb13 ?        00:00:00 [migration/5]
root         116       2     116  0    1 Feb13 ?        00:00:00 [ksoftirqd/5]
root         118       2     118  0    1 Feb13 ?        00:00:00 [kworker/5:0H-events_highpri]
root         119       2     119  0    1 Feb13 ?        00:00:00 [cpuhp/7]
root         120       2     120  0    1 Feb13 ?        00:00:00 [idle_inject/7]
root         121       2     121  0    1 Feb13 ?        00:00:00 [migration/7]
root         122       2     122  0    1 Feb13 ?        00:00:00 [ksoftirqd/7]
root         124       2     124  0    1 Feb13 ?        00:00:00 [kworker/7:0H-events_highpri]
root         125       2     125  0    1 Feb13 ?        00:00:00 [cpuhp/9]
root         126       2     126  0    1 Feb13 ?        00:00:00 [idle_inject/9]
root         127       2     127  0    1 Feb13 ?        00:00:00 [migration/9]
root         128       2     128  0    1 Feb13 ?        00:00:00 [ksoftirqd/9]
root         130       2     130  0    1 Feb13 ?        00:00:00 [kworker/9:0H-events_highpri]
root         131       2     131  0    1 Feb13 ?        00:00:00 [cpuhp/11]
root         132       2     132  0    1 Feb13 ?        00:00:00 [idle_inject/11]
root         133       2     133  0    1 Feb13 ?        00:00:00 [migration/11]
root         134       2     134  0    1 Feb13 ?        00:00:00 [ksoftirqd/11]
root         136       2     136  0    1 Feb13 ?        00:00:00 [kworker/11:0H-events_highpri]
root         137       2     137  0    1 Feb13 ?        00:00:00 [kdevtmpfs]
root         138       2     138  0    1 Feb13 ?        00:00:00 [kworker/R-inet_frag_wq]
root         139       2     139  0    1 Feb13 ?        00:00:00 [rcu_tasks_kthread]
root         140       2     140  0    1 Feb13 ?        00:00:00 [rcu_tasks_rude_kthread]
root         141       2     141  0    1 Feb13 ?        00:00:00 [rcu_tasks_trace_kthread]
root         142       2     142  0    1 Feb13 ?        00:00:00 [kauditd]
root         143       2     143  0    1 Feb13 ?        00:00:00 [oom_reaper]
root         145       2     145  0    1 Feb13 ?        00:00:00 [kworker/R-writeback]
root         146       2     146  0    1 Feb13 ?        00:00:07 [kcompactd0]
root         147       2     147  0    1 Feb13 ?        00:00:00 [ksmd]
root         148       2     148  0    1 Feb13 ?        00:00:02 [khugepaged]
root         149       2     149  0    1 Feb13 ?        00:00:00 [kworker/R-kblockd]
root         150       2     150  0    1 Feb13 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         151       2     151  0    1 Feb13 ?        00:00:00 [kworker/R-kintegrityd]
root         153       2     153  0    1 Feb13 ?        00:00:00 [irq/9-acpi]
root         154       2     154  0    1 Feb13 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         155       2     155  0    1 Feb13 ?        00:00:00 [kworker/R-ata_sff]
root         156       2     156  0    1 Feb13 ?        00:00:00 [kworker/R-md_bitmap]
root         157       2     157  0    1 Feb13 ?        00:00:00 [kworker/R-md]
root         158       2     158  0    1 Feb13 ?        00:00:00 [kworker/R-edac-poller]
root         159       2     159  0    1 Feb13 ?        00:00:00 [kworker/R-devfreq_wq]
root         160       2     160  0    1 Feb13 ?        00:00:00 [watchdogd]
root         162       2     162  0    1 Feb13 ?        00:00:00 [kworker/R-quota_events_unbound]
root         164       2     164  0    1 Feb13 ?        00:00:04 [kworker/16:1H-i915_cleanup]
root         166       2     166  0    1 Feb13 ?        00:01:05 [kswapd0]
root         167       2     167  0    1 Feb13 ?        00:00:00 [kworker/R-cryptd]
root         171       2     171  0    1 Feb13 ?        00:00:00 [kworker/R-kthrotld]
root         172       2     172  0    1 Feb13 ?        00:00:00 [irq/120-pciehp]
root         173       2     173  0    1 Feb13 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         175       2     175  0    1 Feb13 ?        00:00:00 [hwrng]
root         180       2     180  0    1 Feb13 ?        00:00:00 [scsi_eh_0]
root         181       2     181  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         182       2     182  0    1 Feb13 ?        00:00:00 [scsi_eh_1]
root         183       2     183  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         184       2     184  0    1 Feb13 ?        00:00:00 [scsi_eh_2]
root         185       2     185  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         186       2     186  0    1 Feb13 ?        00:00:00 [scsi_eh_3]
root         187       2     187  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         188       2     188  0    1 Feb13 ?        00:00:00 [scsi_eh_4]
root         189       2     189  0    1 Feb13 ?        00:00:00 [kworker/R-scsi_tmf_4]
